,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,n_genes_called,n_genes_mapped,n_contigs,taxonomic_level,proportion_genes_retained_in_major_clades,genes_retained_index,clade_separation_score,contamination_portion,n_effective_surplus_clades,mean_hit_identity,reference_representation_score,pass.GUNC
SemiBin_112,c__Gammaproteobacteria (UID4201),1164,275,174,178,97,0,0,0,0,36.59,0.0,0.0,759,704,141,family,0.6,0.55,0.07,0.46,2.17,0.54,0.3,True
SemiBin_113,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,240,83,34,kingdom,1.0,0.35,0.0,0.0,0.0,0.47,0.16,True
SemiBin_116,c__Gammaproteobacteria (UID4761),52,693,297,493,193,7,0,0,0,22.08,0.92,71.43,1059,1046,192,kingdom,1.0,0.99,0.0,0.0,0.0,0.96,0.95,True
SemiBin_118,k__Bacteria (UID203),5449,102,58,86,16,0,0,0,0,12.59,0.0,0.0,302,278,72,class,0.83,0.76,0.43,0.15,0.36,0.54,0.41,True
SemiBin_12,root (UID1),5656,56,24,54,2,0,0,0,0,8.33,0.0,0.0,600,583,115,class,0.98,0.95,0.6,0.05,0.1,0.72,0.69,False
SemiBin_120,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,709,626,184,order,0.65,0.57,0.51,0.69,4.46,0.59,0.34,False
SemiBin_121,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,293,256,71,phylum,0.9,0.78,0.44,0.09,0.19,0.49,0.38,True
SemiBin_123,k__Bacteria (UID1453),901,171,117,91,80,0,0,0,0,33.57,0.0,0.0,530,469,93,class,0.71,0.63,0.07,0.72,4.7,0.48,0.3,True
SemiBin_125,k__Bacteria (UID203),5449,104,58,79,25,0,0,0,0,28.42,0.0,0.0,942,875,198,class,0.79,0.73,0.34,0.07,0.16,0.64,0.46,True
SemiBin_126,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,300,258,64,phylum,0.85,0.73,0.36,0.47,1.72,0.49,0.36,True
SemiBin_127,k__Bacteria (UID203),5449,104,58,95,9,0,0,0,0,11.21,0.0,0.0,376,366,102,phylum,0.97,0.94,0.89,0.06,0.12,0.57,0.54,False
SemiBin_128,k__Bacteria (UID203),5449,104,58,93,11,0,0,0,0,4.86,0.0,0.0,374,357,92,family,0.83,0.79,0.16,0.17,0.42,0.7,0.56,True
SemiBin_13,k__Bacteria (UID203),5449,104,58,79,23,2,0,0,0,35.52,2.59,100.0,680,650,154,phylum,0.96,0.92,0.12,0.02,0.05,0.54,0.5,True
SemiBin_131,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,256,90,43,kingdom,1.0,0.35,0.0,0.02,0.05,0.41,0.15,True
SemiBin_132,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,423,159,74,kingdom,0.99,0.37,0.0,0.0,0.0,0.43,0.16,True
SemiBin_133,k__Bacteria (UID203),5449,104,58,87,17,0,0,0,0,11.21,0.0,0.0,260,243,71,phylum,0.95,0.88,0.35,0.04,0.08,0.54,0.48,True
SemiBin_134,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,201,176,59,phylum,0.89,0.78,0.25,0.59,3.08,0.47,0.37,True
SemiBin_135,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,504,276,69,order,0.8,0.44,0.38,0.36,1.24,0.67,0.29,True
SemiBin_136,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,482,193,56,kingdom,0.99,0.4,0.0,0.0,0.0,0.42,0.17,True
SemiBin_137,k__Archaea (UID2),207,149,107,136,8,4,1,0,0,5.42,1.7,0.0,510,195,100,kingdom,1.0,0.38,0.0,0.1,0.21,0.37,0.14,True
SemiBin_139,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,375,169,48,kingdom,0.98,0.44,0.0,0.0,0.0,0.44,0.2,True
SemiBin_142,k__Archaea (UID2),207,149,107,121,28,0,0,0,0,16.82,0.0,0.0,527,459,139,phylum,0.97,0.84,0.27,0.04,0.07,0.63,0.53,True
SemiBin_144,p__Euryarchaeota (UID3),148,188,125,127,60,1,0,0,0,36.5,0.8,100.0,788,744,191,kingdom,1.0,0.94,0.26,0.04,0.09,0.87,0.82,True
SemiBin_146,k__Bacteria (UID203),5449,99,53,85,10,4,0,0,0,24.53,7.55,0.0,444,428,86,class,0.93,0.9,0.62,0.04,0.08,0.71,0.64,False
SemiBin_148,o__Cytophagales (UID2936),47,454,336,243,205,6,0,0,0,46.93,1.31,50.0,976,916,189,class,0.91,0.86,0.14,0.3,0.93,0.55,0.47,True
SemiBin_149,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,350,342,72,genus,0.96,0.94,0.09,0.23,0.56,0.67,0.63,True
SemiBin_15,k__Bacteria (UID2566),525,208,136,105,100,3,0,0,0,52.4,1.84,33.33,893,794,157,class,0.9,0.8,0.15,0.08,0.17,0.57,0.46,True
SemiBin_153,k__Bacteria (UID203),5449,104,58,75,17,12,0,0,0,28.12,9.72,75.0,795,716,160,genus,0.57,0.51,0.49,0.09,0.21,0.53,0.27,False
SemiBin_16,k__Archaea (UID2),207,149,107,113,35,1,0,0,0,24.66,0.47,100.0,478,454,106,kingdom,1.0,0.95,0.48,0.08,0.17,0.89,0.85,False
SemiBin_160,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,290,114,35,kingdom,1.0,0.39,0.0,0.09,0.19,0.41,0.16,True
SemiBin_164,k__Bacteria (UID203),5449,104,58,89,15,0,0,0,0,21.55,0.0,0.0,626,596,118,class,0.92,0.88,0.34,0.18,0.42,0.55,0.49,True
SemiBin_166,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,468,178,87,kingdom,0.99,0.38,0.0,0.0,0.0,0.41,0.16,True
SemiBin_17,c__Gammaproteobacteria (UID4442),899,312,185,102,204,6,0,0,0,64.49,1.32,66.67,1296,1224,205,class,0.91,0.86,0.07,0.15,0.35,0.55,0.48,True
SemiBin_174,k__Archaea (UID2),207,149,107,137,7,5,0,0,0,3.45,0.36,0.0,290,109,56,kingdom,1.0,0.38,0.0,0.09,0.2,0.4,0.15,True
SemiBin_178,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,330,310,71,order,0.93,0.88,0.68,0.03,0.07,0.89,0.78,False
SemiBin_18,k__Bacteria (UID203),5449,104,58,90,14,0,0,0,0,24.14,0.0,0.0,2240,2205,481,kingdom,1.0,0.98,0.0,0.0,0.0,0.94,0.92,True
SemiBin_180,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,209,158,43,phylum,0.89,0.67,0.33,0.14,0.34,0.47,0.32,True
SemiBin_181,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,309,291,63,genus,0.59,0.56,0.59,0.58,2.27,0.66,0.37,False
SemiBin_183,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,469,175,58,kingdom,1.0,0.37,0.0,0.08,0.17,0.4,0.15,True
SemiBin_186,k__Bacteria (UID203),5449,104,58,94,10,0,0,0,0,15.52,0.0,0.0,260,221,58,family,0.59,0.5,0.31,0.64,3.65,0.51,0.26,True
SemiBin_188,k__Bacteria (UID203),5449,99,53,95,4,0,0,0,0,7.55,0.0,0.0,349,338,70,genus,0.9,0.87,0.41,0.05,0.1,0.73,0.64,True
SemiBin_19,c__Gammaproteobacteria (UID4443),356,451,270,243,202,6,0,0,0,45.07,0.7,83.33,1183,1167,209,genus,0.88,0.87,0.83,0.17,0.39,0.89,0.78,False
SemiBin_191,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,425,182,49,kingdom,0.99,0.43,0.0,0.0,0.0,0.42,0.18,True
SemiBin_194,c__Gammaproteobacteria (UID4444),263,507,232,449,56,2,0,0,0,2.37,0.05,100.0,490,473,76,genus,0.86,0.83,0.62,0.27,0.76,0.94,0.79,False
SemiBin_196,k__Bacteria (UID2569),434,278,186,213,64,1,0,0,0,18.48,0.54,0.0,418,360,112,phylum,0.95,0.82,0.55,0.1,0.22,0.53,0.44,False
SemiBin_197,k__Bacteria (UID203),5449,104,58,81,23,0,0,0,0,25.3,0.0,0.0,336,331,70,phylum,1.0,0.98,1.0,0.03,0.07,0.95,0.93,False
SemiBin_198,k__Bacteria (UID203),5449,104,58,78,25,1,0,0,0,29.55,1.72,100.0,472,451,111,phylum,0.98,0.93,0.3,0.02,0.05,0.58,0.54,True
SemiBin_2,p__Euryarchaeota (UID3),148,188,125,132,56,0,0,0,0,28.69,0.0,0.0,513,464,128,kingdom,1.0,0.9,0.14,0.07,0.14,0.62,0.56,True
SemiBin_20,root (UID1),5656,56,24,54,2,0,0,0,0,8.33,0.0,0.0,420,364,116,kingdom,1.0,0.87,0.63,0.06,0.13,0.52,0.45,False
SemiBin_209,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,627,574,136,family,0.48,0.44,0.16,0.78,6.21,0.55,0.24,True
SemiBin_21,k__Bacteria (UID203),5449,103,57,90,13,0,0,0,0,5.15,0.0,0.0,258,240,70,kingdom,1.0,0.93,1.0,0.03,0.05,0.63,0.58,False
SemiBin_22,k__Bacteria (UID203),5449,103,58,88,15,0,0,0,0,24.14,0.0,0.0,2090,2049,384,kingdom,1.0,0.98,0.0,0.0,0.0,0.97,0.95,True
SemiBin_23,k__Bacteria (UID1453),901,171,117,113,53,5,0,0,0,30.74,3.42,0.0,693,622,137,order,0.5,0.45,0.66,0.59,2.09,0.58,0.26,False
SemiBin_234,k__Bacteria (UID2495),2993,147,91,52,92,3,0,0,0,60.94,2.3,66.67,777,769,130,kingdom,1.0,0.99,0.0,0.0,0.0,0.84,0.83,True
SemiBin_239,p__Cyanobacteria (UID2192),79,584,458,137,447,0,0,0,0,74.14,0.0,0.0,1222,1214,24,phylum,1.0,0.99,1.0,0.02,0.05,0.98,0.98,False
SemiBin_25,k__Bacteria (UID203),5449,104,58,85,15,4,0,0,0,20.47,3.79,100.0,644,600,165,phylum,0.96,0.9,0.09,0.02,0.05,0.51,0.46,True
SemiBin_26,c__Gammaproteobacteria (UID4444),263,507,232,78,420,9,0,0,0,92.83,1.98,44.44,3587,3533,352,kingdom,1.0,0.98,0.0,0.0,0.0,0.95,0.93,True
SemiBin_28,o__Rhodospirillales (UID3754),63,336,201,168,163,5,0,0,0,52.21,1.99,20.0,2827,2615,554,order,0.81,0.75,0.17,0.51,2.02,0.62,0.46,True
SemiBin_29,k__Bacteria (UID203),5449,104,58,89,15,0,0,0,0,24.14,0.0,0.0,1114,1049,228,family,0.78,0.73,0.21,0.51,2.33,0.61,0.44,True
SemiBin_3,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,316,115,68,kingdom,0.99,0.36,0.0,0.0,0.0,0.41,0.15,True
SemiBin_30,k__Bacteria (UID203),5449,104,58,97,7,0,0,0,0,1.1,0.0,0.0,501,468,127,family,0.89,0.83,0.43,0.05,0.11,0.72,0.6,True
SemiBin_31,c__Gammaproteobacteria (UID4266),1097,270,172,142,127,1,0,0,0,44.91,0.03,100.0,793,753,125,class,0.9,0.85,0.15,0.13,0.3,0.55,0.47,True
SemiBin_32,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,438,151,74,kingdom,0.99,0.34,0.0,0.0,0.0,0.43,0.15,True
SemiBin_33,p__Euryarchaeota (UID3),148,188,125,31,156,1,0,0,0,78.49,0.8,100.0,1595,1455,190,kingdom,1.0,0.91,0.26,0.06,0.14,0.61,0.55,True
SemiBin_34,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,351,111,38,kingdom,0.98,0.31,0.0,0.0,0.0,0.44,0.14,True
SemiBin_35,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,870,760,106,genus,0.74,0.64,0.55,0.34,1.15,0.79,0.51,False
SemiBin_36,k__Archaea (UID2),207,149,107,133,13,3,0,0,0,4.37,1.08,0.0,403,116,61,kingdom,1.0,0.29,0.0,0.15,0.33,0.37,0.11,True
SemiBin_38,p__Euryarchaeota (UID3),148,188,125,22,162,4,0,0,0,84.4,1.92,75.0,1356,1234,119,phylum,0.96,0.87,0.28,0.03,0.07,0.62,0.54,True
SemiBin_39,k__Bacteria (UID203),5449,104,58,98,6,0,0,0,0,3.45,0.0,0.0,340,313,82,genus,0.53,0.49,0.71,0.46,1.6,0.68,0.33,False
SemiBin_4,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,918,424,107,phylum,0.93,0.43,0.28,0.46,1.65,0.49,0.21,True
SemiBin_40,k__Bacteria (UID203),5449,104,58,90,14,0,0,0,0,16.38,0.0,0.0,459,419,104,phylum,0.97,0.88,0.41,0.06,0.13,0.58,0.51,True
SemiBin_41,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,431,186,40,kingdom,1.0,0.43,0.59,0.05,0.11,0.45,0.2,False
SemiBin_45,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,403,361,38,genus,0.78,0.7,0.51,0.13,0.32,0.95,0.66,False
SemiBin_47,root (UID1),5656,56,24,46,0,5,3,2,0,5.21,8.45,0.0,986,319,61,kingdom,1.0,0.32,0.0,0.13,0.28,0.38,0.12,True
SemiBin_49,k__Bacteria (UID203),5449,100,55,82,18,0,0,0,0,15.14,0.0,0.0,429,372,106,family,0.59,0.51,0.71,0.26,0.71,0.59,0.3,False
SemiBin_50,k__Bacteria (UID2569),434,278,186,94,174,10,0,0,0,74.99,5.02,60.0,1555,1471,224,phylum,0.96,0.91,0.09,0.03,0.06,0.56,0.51,True
SemiBin_51,k__Bacteria (UID203),5449,104,58,77,27,0,0,0,0,39.37,0.0,0.0,2122,2060,453,genus,0.91,0.88,0.22,0.1,0.23,0.84,0.74,True
SemiBin_52,k__Bacteria (UID203),5449,104,58,90,14,0,0,0,0,13.71,0.0,0.0,808,762,210,class,0.95,0.89,0.73,0.06,0.14,0.72,0.64,False
SemiBin_54,k__Bacteria (UID2569),434,278,186,37,226,15,0,0,0,81.72,4.24,46.67,1473,1391,158,class,0.91,0.86,0.02,0.51,2.02,0.57,0.49,True
SemiBin_55,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,251,243,66,genus,0.67,0.65,0.77,0.31,0.97,0.7,0.46,False
SemiBin_56,c__Gammaproteobacteria (UID4444),263,507,232,47,420,40,0,0,0,91.19,8.54,57.5,4245,4134,465,class,0.99,0.97,0.37,0.02,0.05,0.94,0.9,True
SemiBin_57,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,244,204,44,family,0.55,0.46,0.53,0.11,0.24,0.53,0.25,False
SemiBin_58,k__Archaea (UID2),207,148,106,144,4,0,0,0,0,1.8,0.0,0.0,285,80,49,kingdom,1.0,0.28,0.0,0.12,0.28,0.36,0.1,True
SemiBin_59,k__Bacteria (UID203),5449,104,58,89,15,0,0,0,0,12.52,0.0,0.0,448,436,75,phylum,0.97,0.95,0.66,0.03,0.05,0.77,0.73,False
SemiBin_6,c__Gammaproteobacteria (UID4201),1164,275,174,163,112,0,0,0,0,39.37,0.0,0.0,716,674,129,class,0.91,0.85,0.12,0.15,0.37,0.54,0.46,True
SemiBin_61,k__Bacteria (UID203),5449,104,58,94,10,0,0,0,0,16.38,0.0,0.0,389,382,105,phylum,0.98,0.96,0.74,0.03,0.06,0.74,0.71,False
SemiBin_62,k__Bacteria (UID203),5449,104,58,81,23,0,0,0,0,34.83,0.0,0.0,2491,2452,408,kingdom,1.0,0.98,0.0,0.0,0.0,0.84,0.82,True
SemiBin_64,k__Bacteria (UID203),5449,104,58,88,16,0,0,0,0,12.3,0.0,0.0,518,474,138,order,0.93,0.85,0.04,0.46,1.83,0.52,0.45,True
SemiBin_66,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,381,333,96,genus,0.48,0.42,0.89,0.18,0.44,0.8,0.33,False
SemiBin_68,s__algicola (UID2846),47,571,303,318,251,2,0,0,0,44.07,0.44,0.0,861,832,176,genus,0.56,0.54,0.06,0.81,10.3,0.6,0.32,True
SemiBin_7,o__Cytophagales (UID2936),47,454,336,377,77,0,0,0,0,14.44,0.0,0.0,379,351,88,phylum,0.93,0.86,0.34,0.03,0.06,0.54,0.46,True
SemiBin_70,k__Bacteria (UID203),5449,104,58,75,29,0,0,0,0,38.56,0.0,0.0,2588,2515,350,kingdom,1.0,0.97,0.0,0.0,0.0,0.9,0.88,True
SemiBin_71,c__Alphaproteobacteria (UID3305),564,349,230,158,189,2,0,0,0,56.3,0.28,0.0,951,910,176,class,0.9,0.86,0.18,0.1,0.22,0.54,0.46,True
SemiBin_73,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,481,196,65,kingdom,1.0,0.41,0.0,0.03,0.06,0.4,0.16,True
SemiBin_74,k__Bacteria (UID1453),901,171,117,120,40,11,0,0,0,16.7,4.76,0.0,279,227,39,class,0.89,0.72,0.87,0.48,1.77,0.7,0.51,False
SemiBin_75,k__Bacteria (UID2569),434,278,186,11,257,10,0,0,0,96.02,2.9,70.0,2101,1965,203,class,0.94,0.88,0.03,0.4,1.46,0.53,0.47,True
SemiBin_76,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,349,127,42,kingdom,1.0,0.36,0.0,0.02,0.05,0.43,0.16,True
SemiBin_77,root (UID1),5656,56,24,55,1,0,0,0,0,4.17,0.0,0.0,283,276,59,genus,0.72,0.7,0.79,0.07,0.14,0.65,0.46,False
SemiBin_78,k__Bacteria (UID203),5449,104,58,91,13,0,0,0,0,17.24,0.0,0.0,554,529,111,genus,0.5,0.48,0.31,0.53,2.31,0.6,0.29,True
SemiBin_79,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,218,175,68,phylum,0.96,0.77,0.41,0.42,1.31,0.56,0.43,True
SemiBin_8,root (UID1),5656,56,24,54,2,0,0,0,0,8.33,0.0,0.0,622,605,170,genus,0.98,0.95,0.12,0.04,0.08,0.98,0.93,True
SemiBin_81,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,639,270,83,kingdom,1.0,0.42,0.03,0.04,0.08,0.41,0.17,True
SemiBin_82,f__Rhodobacteraceae (UID3340),84,568,330,358,207,3,0,0,0,40.18,0.61,66.67,1051,1034,221,kingdom,1.0,0.98,0.0,0.0,0.0,0.96,0.94,True
SemiBin_87,o__Actinomycetales (UID1593),69,400,198,4,392,4,0,0,0,99.12,1.43,0.0,2533,2450,71,order,0.93,0.9,0.16,0.05,0.11,0.7,0.63,True
SemiBin_88,c__Gammaproteobacteria (UID4443),356,451,270,241,209,1,0,0,0,44.48,0.37,0.0,1203,1131,290,genus,0.6,0.57,0.56,0.17,0.39,0.63,0.36,False
SemiBin_89,k__Bacteria (UID2569),434,278,186,26,248,4,0,0,0,89.98,1.79,75.0,1863,1675,272,phylum,0.96,0.87,0.07,0.04,0.08,0.52,0.45,True
SemiBin_90,root (UID1),5656,56,24,56,0,0,0,0,0,0.0,0.0,0.0,258,215,71,order,0.55,0.46,0.64,0.49,2.35,0.51,0.23,False
SemiBin_91,root (UID1),5656,56,24,54,2,0,0,0,0,8.33,0.0,0.0,462,431,117,order,0.89,0.83,0.26,0.31,0.95,0.59,0.49,True
SemiBin_92,c__Gammaproteobacteria (UID4442),899,312,185,216,96,0,0,0,0,28.69,0.0,0.0,620,595,131,family,0.93,0.9,0.19,0.37,0.87,0.75,0.67,True
SemiBin_94,k__Bacteria (UID203),5449,103,57,81,20,2,0,0,0,33.33,3.51,50.0,1158,1085,214,family,0.84,0.78,0.27,0.23,0.63,0.59,0.46,True
SemiBin_98,k__Bacteria (UID203),5449,99,53,78,21,0,0,0,0,31.13,0.0,0.0,631,566,128,phylum,0.93,0.83,0.7,0.05,0.1,0.49,0.41,False
SemiBin_99,c__Gammaproteobacteria (UID4201),1164,275,174,123,147,5,0,0,0,54.6,1.27,80.0,739,682,126,class,0.89,0.82,0.1,0.08,0.18,0.52,0.42,True
