sample_id	Bin ID	Most abundant genome	Purity (bp)	Completeness (bp)	Bin size (bp)	True positives (bp)	True size of most abundant genome (bp)	Purity (seq)	Completeness (seq)	Bin size (seq)	True positives (seq)	True size of most abundant genome (seq)
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_1.fa	OTU_97.552.0	0.9335632523045188	0.9244828861816654	1579397	1474467	1594910	0.8783783783783784	0.8280254777070064	148	130	157
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_19.fa	OTU_97.19208.1	1.0	0.9244382953699246	3329481	3329481	3601626	1.0	0.7959527824620574	472	472	593
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_10.fa	OTU_97.2576.0	1.0	0.9204426776735876	3987192	3987192	4331820	1.0	0.8568019093078759	359	359	419
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_0.fa	OTU_97.12293.0	0.9981422401127942	0.9037723122882237	4305185	4297187	4754723	0.9844155844155844	0.8366445916114791	385	379	453
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_4.fa	OTU_97.25504.0	0.9108460812567581	0.8725326375315734	3182283	2898570	3322019	0.8354430379746836	0.8048780487804879	316	264	328
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_5.fa	OTU_97.20215.0	0.9130836607567315	0.867857760778987	3422429	3124964	3600779	0.8928571428571429	0.7534246575342466	308	275	365
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_12.fa	OTU_97.10120.0	0.5878632512454839	0.8646715358814171	6014329	3535603	4088955	0.5836653386454184	0.7630208333333334	502	293	384
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_67.fa	OTU_97.7997.0	1.0	0.7573249852002661	2144087	2144087	2831132	1.0	0.5	2	2	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_14.fa	OTU_97.14604.0	0.5099180740423284	0.5186087617599544	1605352	818598	1578450	0.5536723163841808	0.5868263473053892	177	98	167
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_13.fa	OTU_97.6577.0	0.5204898404660278	0.5072956185375288	1572267	818349	1613160	0.5317460317460317	0.4161490683229814	126	67	161
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_2.fa	OTU_97.30248.1	1.0	0.39770475333550454	864564	864564	2173884	1.0	0.19163498098859316	504	504	2630
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_6.fa	OTU_97.29331.1	0.9721460221326623	0.35670121201475496	898220	873201	2447990	0.971900826446281	0.14901165737455652	605	588	3946
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_8.fa	OTU_97.10661.0	0.7692332924817215	0.26886696832446727	1432828	1102179	4099347	0.7478991596638656	0.23544973544973544	119	89	378
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_105.fa	OTU_97.7997.0	1.0	0.22133125548367225	626618	626618	2831132	1.0	0.25	1	1	4
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_23.fa	OTU_97.16573.1	1.0	0.19683863329492496	248557	248557	1262745	1.0	0.07024793388429752	187	187	2662
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_26.fa	OTU_97.30248.1	0.7602565740717079	0.1368499883158439	391310	297496	2173884	0.708	0.06730038022813688	250	177	2630
gsa	/public/home/pansj/abundance_estimation/CAMI2/Gastrointestinal/multi_to_multi/seed/S4/new_norm/output2/output_recluster_bins/SemiBin_34.fa	OTU_97.20215.0	0.38791079652194776	0.039510617008152955	366757	142269	3600779	0.16	0.021917808219178082	50	8	365
